dateTime;country;total_cases;new_cases;total_deaths;new_deaths;total_recovered;active_cases;critical_cases;cases_per_million;deaths_per_million
2020-03-31T14:07:55.479508;Estonia;745;30;4;1;26;715;13;562;3
2020-03-31T14:07:55.479508;Hong Kong;714;31;4;0;128;582;5;95;5
2020-03-31T14:07:55.479508;Diamond Princess;712;0;10;0;603;99;15;0;0
2020-03-31T14:07:55.479508;Qatar;693;0;1;0;51;641;6;241;3
2020-03-31T14:07:55.479508;UAE;664;53;6;1;61;597;2;67;6
2020-03-31T14:07:55.479508;Egypt;656;0;41;0;150;465;0;6;4
2020-03-31T14:07:55.479508;New Zealand;647;58;1;0;74;572;2;134;2
2020-03-31T14:07:55.479508;Iraq;630;0;46;0;152;432;0;16;1
2020-03-31T14:07:55.479508;Algeria;584;0;35;0;37;512;0;13;8
2020-03-31T14:07:55.479508;Morocco;574;18;33;0;15;526;1;16;9
2020-03-31T14:07:55.479508;Bahrain;567;52;4;0;295;268;2;333;2
2020-03-31T14:07:55.479508;Ukraine;549;1;13;0;8;528;0;13;3
2020-03-31T14:07:55.479508;Lithuania;533;42;8;1;7;518;27;196;3
2020-03-31T14:07:55.479508;Armenia;532;50;3;0;30;499;30;180;1
2020-03-31T21:31:53.987280;USA;185159;21371;3773;632;6347;175039;3981;559;11
2020-03-31T21:31:53.987280;Italy;105792;4053;12428;837;15729;77635;4023;1750;206
2020-03-31T21:31:53.987280;Spain;95923;7967;8464;748;19259;68200;5607;2052;181
2020-03-31T21:31:53.987280;Germany;71690;4805;774;129;16100;54816;2675;856;9
2020-03-31T21:31:53.987280;France;52128;7578;3523;499;9444;39161;5565;799;54
2020-03-31T21:31:53.987280;Iran;44605;3110;2898;141;14656;27051;3703;531;35
2020-03-31T21:31:53.987280;UK;25150;3009;1789;381;135;23226;163;370;26
2020-03-31T21:31:53.987280;Switzerland;16605;683;433;74;1823;14349;301;1919;50
2020-03-31T21:31:53.987280;Turkey;13531;2704;214;46;243;13074;622;160;3
2020-03-31T21:31:53.987280;Belgium;12775;876;705;192;1696;10374;1021;1102;61
2020-03-31T21:31:53.987280;Netherlands;12595;845;1039;175;250;11306;1053;735;61
2020-03-31T21:31:53.987280;Austria;10180;562;128;20;1095;8957;198;1130;14
2020-03-31T21:31:53.987280;S. Korea;9786;125;162;4;5408;4216;55;191;3
2020-03-31T21:31:53.987280;Canada;8505;1057;95;6;1162;7248;120;225;3
2020-03-31T21:31:53.987280;Portugal;7443;1035;160;20;43;7240;188;730;16
2020-03-31T21:31:53.987280;Brazil;5717;1087;201;38;127;5389;296;27;9
2020-03-31T21:31:53.987280;Israel;5358;663;20;4;224;5114;94;619;2
2020-03-31T21:31:53.987280;Norway;4641;196;39;7;13;4589;97;856;7
2020-03-31T21:31:53.987280;Australia;4561;101;19;0;337;4205;28;179;7
2020-03-31T21:31:53.987280;Sweden;4435;407;180;34;16;4239;358;439;18
2020-03-31T21:31:53.987280;Czechia;3257;256;31;8;45;3181;64;304;3
2020-03-31T21:31:53.987280;Ireland;3235;325;71;17;5;3159;103;655;14
2020-03-31T21:31:53.987280;Denmark;2860;283;90;13;1;2769;145;494;16
2020-03-31T21:31:53.987280;Malaysia;2766;140;43;6;537;2186;94;85;1
2020-03-31T21:31:53.987280;Chile;2738;289;12;4;156;2570;14;143;6
2020-03-31T21:31:53.987280;Russia;2337;501;17;8;121;2199;8;16;1
2020-03-31T21:31:53.987280;Poland;2311;256;33;2;7;2271;50;61;9
2020-03-31T21:31:53.987280;Romania;2245;136;82;17;220;1943;62;117;4
2020-03-31T21:31:53.987280;Ecuador;2240;274;75;13;54;2111;100;127;4
2020-03-31T21:31:53.987280;Luxembourg;2178;190;23;1;80;2075;31;3479;37
2020-03-31T21:31:53.987280;Philippines;2084;538;88;10;49;1947;1;19;8
2020-03-31T21:31:53.987280;Japan;1953;0;56;0;424;1473;56;15;4
2020-03-31T21:31:53.987280;Pakistan;1938;221;26;5;76;1836;12;9;1
2020-03-31T21:31:53.987280;Thailand;1651;127;10;1;342;1299;23;24;1
2020-03-31T21:31:53.987280;Saudi Arabia;1563;110;10;2;165;1388;31;45;3
2020-03-31T21:31:53.987280;Indonesia;1528;114;136;14;81;1311;0;6;5
2020-03-31T21:31:53.987280;Finland;1418;66;17;4;10;1391;56;256;3
2020-03-31T21:31:53.987280;India;1397;146;35;3;123;1239;0;1;3
2020-03-31T21:31:53.987280;South Africa;1353;27;5;2;31;1317;7;23;8
2020-03-31T21:31:53.987280;Greece;1314;102;49;3;52;1213;72;126;5
2020-03-31T21:31:53.987280;Iceland;1135;49;2;0;198;935;11;3326;6
2020-03-31T21:31:53.987280;Dominican Republic;1109;208;51;9;5;1053;0;102;5
2020-03-31T21:31:53.987280;Mexico;1094;101;28;8;35;1031;1;8;2
2020-03-31T21:31:53.987280;Panama;1075;0;27;0;9;1039;43;249;6
